player_id,player_name,position,team,model_score,position_rank,recommendation
9488,"Jaxon Smith-Njigba",WR,SEA,58,5,START
10229,"Rashee Rice",WR,KC,53.4,6,START
2133,"Davante Adams",WR,LAR,53.3,7,START
6794,"Justin Jefferson",WR,MIN,51.5,8,START
5859,"A.J. Brown",WR,NE,49.8,9,START
8112,"Drake London",WR,ATL,49.3,10,START
11632,"Malik Nabers",WR,NYG,49.3,11,START
8146,"Garrett Wilson",WR,NYJ,48,12,START
8126,"Wan'Dale Robinson",WR,TEN,47.9,13,START
9997,"Zay Flowers",WR,BAL,47.9,14,START
6786,"CeeDee Lamb",WR,DAL,47.8,15,START
9487,"Parker Washington",WR,JAX,47.6,16,START
7569,"Nico Collins",WR,HOU,47.1,17,START
2449,"Stefon Diggs",WR,WAS,46.8,18,START
8137,"George Pickens",WR,DAL,46.7,19,START
10232,"Michael Wilson",WR,ARI,46.6,20,START
5927,"Terry McLaurin",WR,WAS,46.6,21,START
7049,"Jauan Jennings",WR,MIN,46.3,22,START
6801,"Tee Higgins",WR,CIN,45.2,23,START
2216,"Mike Evans",WR,SF,44.9,24,START
12526,"Tetairoa McMillan",WR,CAR,44.9,25,FLEX
8167,"Christian Watson",WR,GB,44.6,26,FLEX
9754,"Quentin Johnston",WR,LAC,44.1,27,FLEX
5846,"DK Metcalf",WR,PIT,44,28,FLEX
7525,"DeVonta Smith",WR,PHI,43.9,29,FLEX
5045,"Courtland Sutton",WR,DEN,43.6,30,FLEX
8134,"Khalil Shakir",WR,BUF,43.2,31,FLEX
4983,"DJ Moore",WR,BUF,43.1,32,FLEX
5947,"Jakobi Meyers",WR,JAX,43.1,33,FLEX
8148,"Jameson Williams",WR,DET,42.2,34,FLEX
11834,"Devaughn Vele",WR,NO,40.7,35,FLEX
12519,"Luther Burden",WR,CHI,40.3,36,FLEX
11620,"Rome Odunze",WR,CHI,40.2,37,SIT
9756,"Jordan Addison",WR,MIN,39.8,38,SIT
7526,"Jaylen Waddle",WR,DEN,39.1,39,SIT
6783,"Jerry Jeudy",WR,CLE,39.1,40,SIT
11783,"Ryan Flournoy",WR,DAL,39.1,41,SIT
10222,"Jayden Reed",WR,GB,38.8,42,SIT
12860,"Theo Wease",WR,LAC,38.8,43,SIT
12514,"Emeka Egbuka",WR,TB,38.7,44,SIT
8200,"Kevin Austin",WR,NO,38.7,45,SIT
5872,"Deebo Samuel",WR,SF,38.5,46,SIT
11637,"Keon Coleman",WR,BUF,38.5,47,SIT
1479,"Keenan Allen",WR,IND,38.4,48,SIT
4037,"Chris Godwin",WR,TB,38.3,49,SIT
8121,"Romeo Doubs",WR,NE,38.1,50,SIT
6819,"Michael Pittman",WR,PIT,37.9,51,SIT
8142,"Alec Pierce",WR,IND,37.7,52,SIT
11635,"Ladd McConkey",WR,LAC,37.7,53,SIT
13301,"Antonio Williams",WR,WAS,37.5,54,SIT
11646,"Jalen Coker",WR,CAR,37.4,55,SIT
9500,"Josh Downs",WR,IND,37,56,SIT
13294,"Makai Lemon",WR,PHI,36.7,57,SIT
10213,"Tre Tucker",WR,LV,36.7,58,SIT
11631,"Brian Thomas",WR,JAX,36.3,59,SIT
4177,"Mack Hollins",WR,NE,35.9,60,SIT
12540,"Chimere Dike",WR,TEN,35.6,61,SIT
11628,"Marvin Harrison",WR,ARI,35.6,62,SIT
11625,"Adonai Mitchell",WR,NYJ,35.4,63,SIT
11627,"Troy Franklin",WR,DEN,35.4,64,SIT
11610,"Malik Washington",WR,MIA,35.2,65,SIT
13296,"Caleb Douglas",WR,MIA,35.1,66,SIT
13285,"Malachi Fields",WR,NYG,35.1,67,SIT
13298,"KC Concepcion",WR,CLE,35,68,SIT
12499,"Elic Ayomanor",WR,TEN,34.7,69,SIT
13281,"Jordyn Tyson",WR,NO,34.7,70,SIT
13346,"Denzel Boston",WR,CLE,34.6,71,SIT
6853,"Van Jefferson",WR,WAS,34.5,72,SIT
13279,"Carnell Tate",WR,TEN,33.5,73,SIT
13274,"Germie Bernard",WR,PIT,33.5,74,SIT
11626,"Xavier Legette",WR,CAR,33.1,75,SIT
5848,"Marquise Brown",WR,PHI,33,76,SIT
11638,"Ricky Pearsall",WR,SF,33,77,SIT
7090,"Darnell Mooney",WR,NYG,32.8,78,SIT
13329,"Malik Benson",WR,LV,32.8,79,SIT
5970,"Greg Dortch",WR,BUF,32.6,80,SIT
13320,"Zachariah Branch",WR,ATL,32.6,81,SIT
10444,"Cedric Tillman",WR,NO,32.5,82,SIT
9494,"Marvin Mims",WR,DEN,32.5,83,SIT
12492,"Pat Bryant",WR,DEN,32.5,84,SIT
4981,"Calvin Ridley",WR,TEN,31.8,85,SIT
13411,"Zavion Thomas",WR,CHI,31.8,86,SIT
9486,"Dontayvion Wicks",WR,PHI,31.7,87,SIT
12523,"Jimmy Horn",WR,CAR,31.7,88,SIT
8676,"Rashid Shaheed",WR,SEA,31.7,89,SIT
8147,"John Metchie",WR,CAR,31.6,90,SIT
11608,"Isaiah Williams",WR,NYJ,31.5,91,SIT
4039,"Cooper Kupp",WR,SEA,31.2,92,SIT
11624,"Xavier Worthy",WR,KC,31.1,93,SIT
13276,"Omar Cooper",WR,NYJ,31,94,SIT
12509,"Tre' Harris",WR,LAC,30.8,95,SIT
6271,"Olamide Zaccheaus",WR,ATL,30.6,96,SIT
8917,"KaVontae Turpin",WR,DAL,30.5,97,SIT
8125,"Calvin Austin",WR,NYG,30.4,98,SIT
12501,"Matthew Golden",WR,GB,30,99,SIT
11377,"Tyrell Shavers",WR,BUF,29.9,100,SIT
7587,"Dyami Brown",WR,WAS,29.8,101,SIT
13293,"Ja'Kobi Lane",WR,BAL,29.5,102,SIT
13417,"De'Zhaun Stribling",WR,SF,29.4,103,SIT
9501,"DeMario Douglas",WR,NE,28.9,104,SIT
9504,"Kayshon Boutte",WR,HOU,28.9,105,SIT
11806,"Casey Washington",WR,CAR,28.2,106,SIT
8223,"Velus Jones",WR,SEA,28.1,107,SIT
8180,"Jalen Nailor",WR,LV,28,108,SIT
12520,"Xavier Restrepo",WR,TEN,28,109,SIT
12484,"Jayden Higgins",WR,HOU,27.9,110,SIT
3286,"Demarcus Robinson",WR,SF,27.8,111,SIT
12503,"Isaiah Bond",WR,CLE,27.8,112,SIT
12542,"Efton Chism",WR,NE,27.6,113,SIT
5938,"Lil'Jordan Humphrey",WR,DEN,27.6,114,SIT
4950,"Christian Kirk",WR,SF,27.3,115,SIT
